V	P
0.0	0.0
0.5	0.0
1.0	0.0
1.5	0.0
2.0	0.0
2.5	0.0
3.0	0.0
3.5	0.0
4.0	0.26214400000000004
4.5	0.37324799999999997
5.0	0.5120000000000001
5.5	0.681472
6.0	0.8847359999999999
6.5	1.124864
7.0	1.4049280000000004
7.5	1.7279999999999998
8.0	2.0971520000000003
8.5	2.5154560000000004
9.0	2.9859839999999997
9.5	3.5118080000000003
10.0	4.096000000000001
10.5	4.741631999999999
11.0	5.451776
11.5	6.229504
12.0	7.077887999999999
12.5	8.0
13.0	8.0
13.5	8.0
14.0	8.0
14.5	8.0
15.0	8.0
15.5	8.0
16.0	8.0
16.5	8.0
17.0	8.0
17.5	8.0
18.0	8.0
18.5	8.0
19.0	8.0
19.5	8.0
20.0	8.0
20.5	8.0
21.0	8.0
21.5	8.0
22.0	8.0
22.5	8.0
23.0	8.0
23.5	8.0
24.0	8.0
24.5	8.0
